remote,station,boroname,neighborhood,postal,latitude,longitude
R162,ELDER AVE-WESTCHESTER AVE,Bronx,Southeast Bronx,10472,40.828894,-73.879559
R163,14TH STREET-6TH AVENUE,Manhattan,Chelsea and Clinton,10011,40.737348,-73.9969
R164,66TH STREET-BROADWAY,Manhattan,Upper West Side,10023,40.773424,-73.982234
R165,TOMPKINSVILLE,Staten Island,Stapleton and St. George,10301,40.636948,-74.074824
R166,79TH STREET-BROADWAY,Manhattan,Upper West Side,10024,40.783872,-73.979938
R167,86TH STREET-BROADWAY,Manhattan,Upper West Side,10024,40.788844,-73.97599
R168,96TH STREET-BROADWAY,Manhattan,Upper West Side,10025,40.79388,-73.972363
R169,137TH STREET-BROADWAY,Manhattan,Inwood and Washington Heights,10031,40.821994,-73.953674
R170,14TH STREET-UNION SQUARE,Manhattan,Lower East Side,10003,40.734836,-73.990688
R171,7TH AVENUE-PARK PLACE,Brooklyn,Northwest Brooklyn,11217,40.677172,-73.972514
R172,BRIGHTON BEACH-CONEY ISLAND,Brooklyn,Southern Brooklyn,11235,40.577961,-73.961806
R173,207TH STREET-BROADWAY,Manhattan,Inwood and Washington Heights,10034,40.868045,-73.919921
R174,181ST STREET-FT WASH AVE,Manhattan,Inwood and Washington Heights,10033,40.851686,-73.937967
R175,8TH AVENUE-14TH STREET,Manhattan,Chelsea and Clinton,10011,40.740388,-74.002104
R176,33RD STREET-PARK AVENUE,Manhattan,Gramercy Park and Murray Hill,10016,40.746119,-73.981826
R177,68TH STREET-HUNTER COLLEGE,Manhattan,Upper East Side,10021,40.768143,-73.964016
R178,77TH STREET-LEXINGTON AVE,Manhattan,Upper East Side,10021,40.773636,-73.959875
R179,86TH STREET-LEXINGTON AVE,Manhattan,Upper East Side,10028,40.779485,-73.955541
R180,103RD STREET-LEXINGTON AVE,Manhattan,East Harlem,10029,40.790582,-73.947473
R181,110TH STREET-LEXINGTON AVE,Manhattan,East Harlem,10029,40.795066,-73.944297
R182,116TH STREET-LEXINGTON AVE,Manhattan,East Harlem,10029,40.798574,-73.941593
R183,BEDFORD PARK BLVD-JEROME AV,Bronx,Bronx Park and Fordham,10468,40.873399,-73.890084
R184,CORTELYOU RD-EAST 16TH ST,Brooklyn,Flatbush,11226,40.640905,-73.963866
R185,DYCKMAN STREET-BROADWAY,Manhattan,Inwood and Washington Heights,10034,40.865286,-73.92698
R186,86TH ST-CENTRAL PARK WEST,Manhattan,Upper West Side,10024,40.785822,-73.968952
R546,PA-PATH PAVONIA/NEWPORT,,,,,
R187,81ST STREET-MUSEUM,Manhattan,Upper West Side,10024,40.781435,-73.972149
R188,50TH STREET-8TH AVENUE,Manhattan,Chelsea and Clinton,10019,40.762439,-73.985989
R189,CHRISTOPHER ST-SHERIDAN SQ,Manhattan,Greenwich Village and Soho,10014,40.733405,-74.002898
R190,23RD STREET-7TH AVENUE,Manhattan,Chelsea and Clinton,10011,40.744071,-73.995624
R191,103RD STREET-BROADWAY,Manhattan,Upper West Side,10025,40.799354,-73.968329
R192,110TH STREET-BROADWAY,Manhattan,Upper West Side,10025,40.804032,-73.966742
R193,157TH STREET-BROADWAY,Manhattan,Inwood and Washington Heights,10032,40.833879,-73.944726
R194,BLEECKER ST-LAFAYETTE ST,Manhattan,Greenwich Village and Soho,10012,40.725665,-73.995645
R195,161ST STREET-YANKEE STADIUM,Bronx,High Bridge and Morrisania,10451,40.827888,-73.925736
R196,PROSPECT PARK-EMPIRE BLVD,Brooklyn,Flatbush,11225,40.661596,-73.962193
R197,36TH STREET-4TH AVENUE,Brooklyn,Sunset Park,11232,40.65515,-74.003477
R198,NOSTRAND AVE-FULTON ST,Brooklyn,Central Brooklyn,11216,40.68041,-73.950326
R199,KINGSTON AVE-THROOP AVE,Brooklyn,Central Brooklyn,11216,40.679921,-73.940858
R200,EUCLID AVE-PITKIN AVE,Brooklyn,East New York and New Lots,11208,40.675382,-73.87207
R201,WOODHAVEN BLVD-QUEENS BLVD,Queens,West Queens,11373,40.73308,-73.869259
R202,63RD DRIVE-REGO PARK,Queens,West Central Queens,11374,40.729869,-73.86161
R203,23RD STREET-6TH AVENUE,Manhattan,Gramercy Park and Murray Hill,10010,40.742868,-73.99277
R204,CHURCH AVE-MCDONALD AVE,Brooklyn,Borough Park,11218,40.644039,-73.979541
R205,149TH ST-GRAND CONCOURSE,Bronx,High Bridge and Morrisania,10451,40.818429,-73.926927
R206,125TH STREET-LENOX AVENUE,Manhattan,Central Harlem,10027,40.808076,-73.945906
R207,135TH STREET-LENOX AVENUE,Manhattan,Central Harlem,10030,40.814459,-73.940992
R208,103RD ST-ROOSEVELT AVE,Queens,West Queens,11368,40.749858,-73.862672
R209,STERLING ST-NOSTRAND AVE,Brooklyn,Flatbush,11225,40.662752,-73.950605
R210,BEVERLY RD-NOSTRAND AVE,Brooklyn,Flatbush,11226,40.645089,-73.948975
R211,KINGS HIGHWAY-EAST 16TH ST,Brooklyn,Southern Brooklyn,11229,40.608691,-73.957772
R212,59TH STREET-4TH AVENUE,Brooklyn,Sunset Park,11220,40.641426,-74.017972
R213,BAY RIDGE AVE-4TH AVENUE,Brooklyn,Sunset Park,11220,40.634945,-74.023411
R214,77TH STREET-4TH AVENUE,Brooklyn,Southwest Brooklyn,11209,40.629702,-74.025514
R215,86TH STREET-4TH AVENUE,Brooklyn,Southwest Brooklyn,11209,40.622715,-74.028368
R216,BAY RIDGE - 95TH STREET,Brooklyn,Southwest Brooklyn,11209,40.616624,-74.030964
R217,HOYT ST-SCHERMERHORN ST,Brooklyn,Northwest Brooklyn,11217,40.688465,-73.985474
R218,ELMHURST AVE-BROADWAY,Queens,West Queens,11373,40.742445,-73.882005
R219,67TH AVENUE-QUEENS BLVD,Queens,West Central Queens,11375,40.726462,-73.85263
R220,CARROLL ST-PRESIDENT ST,Brooklyn,Northwest Brooklyn,11231,40.680231,-73.99498
R221,167TH STREET-RIVER AVENUE,Bronx,High Bridge and Morrisania,10452,40.835535,-73.92138
