"REMOTE","STATION","date","weeknumber","Total_2020","Total_2019"
"R181","110TH STREET-LEXINGTON AVE    ",2020-01-04,"01",44169,43932
"R182","116TH STREET-LEXINGTON AVE    ",2020-01-04,"01",60712,61112
"R183","BEDFORD PARK BLVD-JEROME AV   ",2020-01-04,"01",15599,16245
"R184","CORTELYOU RD-EAST 16TH ST     ",2020-01-04,"01",27540,27157
"R185","DYCKMAN STREET-BROADWAY       ",2020-01-04,"01",30123,28094
"R186","86TH ST-CENTRAL PARK WEST     ",2020-01-04,"01",35538,30296
"R187","81ST STREET-MUSEUM            ",2020-01-04,"01",70114,77066
"R188","50TH STREET-8TH AVENUE        ",2020-01-04,"01",93445,87034
"R189","CHRISTOPHER ST-SHERIDAN SQ    ",2020-01-04,"01",46219,45582
"R190","23RD STREET-7TH AVENUE        ",2020-01-04,"01",53915,51818
"R191","103RD STREET-BROADWAY         ",2020-01-04,"01",55882,58679
"R192","110TH STREET-BROADWAY         ",2020-01-04,"01",54558,53053
"R193","157TH STREET-BROADWAY         ",2020-01-04,"01",48635,49373
"R194","BLEECKER ST-LAFAYETTE ST      ",2020-01-04,"01",63627,61574
"R195","161ST STREET-YANKEE STADIUM   ",2020-01-04,"01",97784,100304
"R196","PROSPECT PARK-EMPIRE BLVD     ",2020-01-04,"01",39369,37991
"R197","36TH STREET-4TH AVENUE        ",2020-01-04,"01",60260,54411
"R198","NOSTRAND AVE-FULTON ST        ",2020-01-04,"01",65135,65801
"R199","KINGSTON AVE-THROOP AVE       ",2020-01-04,"01",26810,26861
"R200","EUCLID AVE-PITKIN AVE         ",2020-01-04,"01",56757,41822
"R201","WOODHAVEN BLVD-QUEENS BLVD    ",2020-01-04,"01",112659,110171
"R202","63RD DRIVE-REGO PARK          ",2020-01-04,"01",75393,73883
"R203","23RD STREET-6TH AVENUE        ",2020-01-04,"01",64257,45361
"R204","CHURCH AVE-MCDONALD AVE       ",2020-01-04,"01",40551,40197
"R205","149TH ST-GRAND CONCOURSE      ",2020-01-04,"01",44192,44251
"R206","125TH STREET-LENOX AVENUE     ",2020-01-04,"01",64453,63943
"R207","135TH STREET-LENOX AVENUE     ",2020-01-04,"01",57982,55753
"R208","103RD ST-ROOSEVELT AVE        ",2020-01-04,"01",101079,96754
"R209","STERLING ST-NOSTRAND AVE      ",2020-01-04,"01",23352,23650
"R210","BEVERLY RD-NOSTRAND AVE       ",2020-01-04,"01",18089,18198
"R211","KINGS HIGHWAY-EAST 16TH ST    ",2020-01-04,"01",77566,77212
"R212","59TH STREET-4TH AVENUE        ",2020-01-04,"01",55000,52518
"R213","BAY RIDGE AVE-4TH AVENUE      ",2020-01-04,"01",33796,32056
"R214","77TH STREET-4TH AVENUE        ",2020-01-04,"01",23490,22213
"R215","86TH STREET-4TH AVENUE        ",2020-01-04,"01",56342,53081
"R216","BAY RIDGE - 95TH STREET       ",2020-01-04,"01",23465,22676
"R217","HOYT ST-SCHERMERHORN ST       ",2020-01-04,"01",48067,42738
"R218","ELMHURST AVE-BROADWAY         ",2020-01-04,"01",63622,63279
"R219","67TH AVENUE-QUEENS BLVD       ",2020-01-04,"01",36169,35212
"R220","CARROLL ST-PRESIDENT ST       ",2020-01-04,"01",36898,34117
"R221","167TH STREET-RIVER AVENUE     ",2020-01-04,"01",37997,47960
"R222","177TH STREET-PARKCHESTER      ",2020-01-04,"01",63254,63482
"R223","46TH ST-BLISS ST              ",2020-01-04,"01",61250,58462
"R224","CLARK STREET-HENRY STREET     ",2020-01-04,"01",22402,19912
"R225","HOYT STREET-HOYT STREET       ",2020-01-04,"01",20808,18996
"R226","GUN HILL ROAD-SEYMOUR         ",2020-01-04,"01",9242,18997
"R227","RECTOR STREET-CHURCH STREET   ",2020-01-04,"01",25803,23382
"R228","AVENUE J-EAST 16TH STREET     ",2020-01-04,"01",25974,26937
"R229","AVENUE M-EAST 16TH STREET     ",2020-01-04,"01",24584,24965
"R230","NECK ROAD-EAST 16TH STREET    ",2020-01-04,"01",20811,20283
"R231","UNION STREET-4TH AVENUE       ",2020-01-04,"01",26740,24085
"R232","45TH STREET-4TH AVENUE        ",2020-01-04,"01",30840,34730
"R233","53RD STREET-4TH AVENUE        ",2020-01-04,"01",36879,41325
"R234","50TH STREET-NEW UTRECHT AVE   ",2020-01-04,"01",14621,14172
"R235","BEDFORD AVE-NORTH 7TH ST      ",2020-01-04,"01",93494,105402
"R236","DEKALB AVE-WYCKOFF AVE        ",2020-01-04,"01",41237,49028
