"REMOTE","STATION"
"R280","190TH STREET-OVERLOOK TERR    "
"R281","72ND STREET-CENTRAL PK WEST   "
"R282","SPRING STREET-6TH AVENUE      "
"R283","LAFAYETTE AVENUE-FULTON ST    "
"R284","CLINTON AVENUE-FULTON ST      "
"R285","MOTT AVENUE-BEACH 22ND ST     "
"R286","MYRTLE AVENUE-MARCY AVENUE    "
"R287","CLASSON AVENUE-LAFAYETTE AV   "
"R288","7TH AVENUE-9TH STREET         "
"R289","FT HAMILTON PKY-GREENWOOD     "
"R290","HOUSTON STREET-VARICK ST      "
"R291","33RD STREET-QUEENS BLVD       "
"R292","BAYCHESTER AVE-TILLOTSON      "
"R293","34TH STREET - PENN STATION    "
"R294","MORGAN AVENUE-HARRISON PL     "
"R295","WILSON AVENUE-MOFFAT STREET   "
"R296","163RD ST & AMSTERDAM AVE      "
"R297","FRANKLIN AVENUE-FULTON ST     "
"R298","NORTHERN BLVD-BROADWAY        "
"R299","BROADWAY - UNION AVENUE       "
"R300","2ND AVENUE-HOUSTON STREET     "
"R301","YORK STREET-JAY STREET        "
"R302","57TH STREET-6TH AVENUE        "
"R303","21ST STREET-QUEENSBRIDGE      "
"R304","RECTOR STREET-GREENWICH ST    "
"R305","WTC-CORTLANDT ST              "
"R306","238TH STREET-BROADWAY         "
"R307","138TH ST-GRAND CONCOURSE      "
"R308","MT EDEN AVENUE-JEROME AVE     "
"R309","176TH STREET-JEROME AVENUE    "
"R310","111TH STREET-ROOSEVELT AVE    "
"R311","BOWERY STREET-DELANCEY ST     "
"R312","WEST 6TH STREET-SURF AVENUE   "
"R313","BUSHWICK AVENUE-ABERDEEN ST   "
"R314","103RD ST-CENTRAL PARK WEST    "
"R315","155TH STREET-8TH AVENUE       "
"R316","FLUSHING AVENUE-MARCY AVE     "
"R317","LAFAYETTE AV-WASHINGTON AV    "
"R318","FULTON STREET-LAFAYETTE AV    "
"R319","63RD STREET-LEXINGTON AVE     "
"R320","CANAL STREET-VARICK STREET    "
"R321","18TH STREET-7TH AVENUE        "
"R322","SPRING STREET-LAFAYETTE ST    "
"R323","111TH STREET-LENOX AVENUE     "
"R324","116TH STREET-LENOX AVENUE     "
"R325","WHITLOCK AVE-WESTCHESTER AV   "
"R326","ZEREGA AVE-WESTCHESTER AVE    "
"R327","52ND STREET-ROOSEVELT AVE     "
"R328","WILLETS PT BLVD-ROOSEVELT     "
"R329","MORRIS PARK-PAULDING AVENUE   "
"R330","3RD AVENUE-14TH STREET        "
"R331","155TH STREET-ST NICHOLAS AV   "
"R332","135TH STREET-ST NICHOLAS AV   "
"R333","116TH STREET-8TH AVENUE       "
"R334","110TH STREET-8TH AVENUE       "
"R335","GASTON AVENUE-BEACH 67TH ST   "
"R336","STRAITON AVE-BEACH 60TH ST    "
"R337","FRANK AVENUE-BEACH 44TH ST    "
"R338","EDGEMERE-BEACH 36TH STREET    "
"R339","36TH STREET-NORTHERN BLVD     "
"R340","65TH STREET-BROADWAY          "
"R341","75TH AVENUE-QUEENS BLVD       "
"R342","VAN WYCK BLVD-METROPOLITAN    "
"R343","FRANKLIN STREET-WEST BWAY     "
"R344","145TH STREET-LENOX AVENUE     "
"R345","148TH STREET-LENOX AVENUE     "
"R346","COURT SQ                      "
"R347","69TH STREET-ROOSEVELT AVE     "
"R348","ATLANTIC AV-VAN SINDEREN AV   "
"R349","SUTTER AVE-VAN SINDEREN AVE   "
"R350","LIVONIA AVE-VAN SINDEREN AV   "
"R352","HEWES STREET-BROADWAY         "
"R353","LORIMER STREET-BROADWAY       "
"R354","104TH STREET-LIBERTY AVENUE   "
"R355","109TH STREET-LIBERTY AVENUE   "
"R356","LEFFERTS BLVD-LIBERTY AVE     "
"R357","NORTH CONDUIT AVE-COHANCEY    "
"R358","BEACH 25TH STREET-WAVECREST   "
"R359","COURT SQ-23 ST                "
"R360","21ST STREET-JACKSON AVENUE    "
"R361","PELHAM PKWY-WHITE PLAINS RD   "
"R362","ALLERTON AV-WHITE PLAINS RD   "
"R363","BURKE AVE-WHITE PLAINS ROAD   "
"R364","GUNHILL RD-WHITE PLAINS RD    "
"R365","219TH ST-WHITE PLAINS ROAD    "
"R366","225TH ST-WHITE PLAINS ROAD    "
"R367","233RD ST-WHITE PLAINS ROAD    "
"R368","9TH AVENUE-39TH STREET        "
"R369","FORT HAMILTON PKWY-45TH ST    "
"R370","71ST STREET-NEW UTRECHT AVE   "
"R371","79TH STREET-17TH AVENUE       "
"R372","18TH AVENUE-86TH STREET       "
"R373","20TH AVENUE-86TH STREET       "
"R374","BAY PARKWAY-86TH STREET       "
"R375","NEW LOTS AV-VAN SINDEREN AV   "
"R376","EAST 105TH ST-FARRAGUT ROAD   "
"R377","FLUSHING AVE-BROADWAY         "
"R378","MYRTLE AVENUE-BROADWAY        "
"R379","KOSCIUSZKO STREET-BROADWAY    "
"R380","GATES AVENUE-BROADWAY         "
"R381","HALSEY STREET-BROADWAY        "
"R382","GRANT AVENUE-PITKIN AVENUE    "
"R383","HUDSON STREET-78TH STREET     "
"R384","BOYD STREET-88TH STREET       "
"R385","ROCKAWAY BLVD-LIBERTY AVE     "
"R386","174TH STREET-SOUTHERN BLVD    "
"R387","EAST TREMONT AVENUE-178 ST    "
"R388","EAST 180TH ST-MORRIS PARK     "
"R389","BRONX PARK EAST               "
"R390","8TH AVENUE-62ND STREET        "
"R391","FORT HAMILTON PARKWAY-62ND    "
"R392","18TH AVENUE-62ND STREET       "
"R393","20TH AVENUE-62ND STREET       "
"R394","BAY PARKWAY-66TH STREET       "
"R395","KINGS HIGHWAY-WEST 7TH ST     "
"R396","AVENUE U-WEST 7TH STREET      "
"R397","86TH STREET-AVENUE V          "
"R398","NEW UTRECHT AVENUE-62ND ST    "
"R399","25TH AVENUE-86TH STREET       "
"R400","BAY 50TH STREET-STILLWELL     "
"R401","CENTRAL AVE-MYRTLE AVE        "
"R402","SENECA AVENUE-PALMETTO ST     "
"R403","FOREST AVENUE-PUTNAM AVENUE   "
"R404","FRESH POND ROAD-68TH AVENUE   "
"R405","JACKSON AVENUE-WESTCHESTER    "
"R406","PROSPECT AVENUE-WESTCHESTER   "
"R407","INTERVALE 163RD STREET        "
"R408","SIMPSON ST-WESTCHESTER AVE    "
"R409","FREEMAN ST-SOUTHERN BLVD      "
